,region,EWCL,perspective,value
0,北京,Energy,本地（生产视角）,19.98655062507179
1,天津,Energy,本地（生产视角）,22.857105300691178
2,河北,Energy,本地（生产视角）,84.85495556998625
3,山西,Energy,本地（生产视角）,64.56393734457798
4,内蒙古,Energy,本地（生产视角）,62.55863175208324
5,辽宁,Energy,本地（生产视角）,91.102895387361
6,吉林,Energy,本地（生产视角）,36.6733854434989
7,黑龙江,Energy,本地（生产视角）,39.40335676842486
8,上海,Energy,本地（生产视角）,35.06902244046971
9,江苏,Energy,本地（生产视角）,84.26085227071185
10,浙江,Energy,本地（生产视角）,56.31960409064446
11,安徽,Energy,本地（生产视角）,41.71267144373531
12,福建,Energy,本地（生产视角）,47.11692416202396
13,江西,Energy,本地（生产视角）,28.039472613405692
14,山东,Energy,本地（生产视角）,150.1602770621063
15,河南,Energy,本地（生产视角）,78.73810177817202
16,湖北,Energy,本地（生产视角）,69.80261247216477
17,湖南,Energy,本地（生产视角）,57.83259115962875
18,广东,Energy,本地（生产视角）,88.35527895869983
19,广西,Energy,本地（生产视角）,36.07790525620914
20,海南,Energy,本地（生产视角）,8.445080604812667
21,重庆,Energy,本地（生产视角）,33.57574944518447
22,四川,Energy,本地（生产视角）,68.49554656281278
23,贵州,Energy,本地（生产视角）,29.689013572789104
24,云南,Energy,本地（生产视角）,37.083737517773834
25,陕西,Energy,本地（生产视角）,36.17490544231616
26,甘肃,Energy,本地（生产视角）,20.522323501508712
27,青海,Energy,本地（生产视角）,5.128918893773736
28,宁夏,Energy,本地（生产视角）,13.615879000412805
29,新疆,Energy,本地（生产视角）,18.327112346210924
30,北京,Energy,国内（生产视角）,11.815968501820524
31,天津,Energy,国内（生产视角）,27.478779885240744
32,河北,Energy,国内（生产视角）,119.91481978304982
33,山西,Energy,国内（生产视角）,71.04146509853078
34,内蒙古,Energy,国内（生产视角）,101.8765702473957
35,辽宁,Energy,国内（生产视角）,65.86560706561488
36,吉林,Energy,国内（生产视角）,37.13293222842532
37,黑龙江,Energy,国内（生产视角）,35.51204467280966
38,上海,Energy,国内（生产视角）,29.60947739191424
39,江苏,Energy,国内（生产视角）,74.35471627025396
40,浙江,Energy,国内（生产视角）,36.992634606730775
41,安徽,Energy,国内（生产视角）,38.429708977129806
42,福建,Energy,国内（生产视角）,14.109225448806821
43,江西,Energy,国内（生产视角）,15.988085838880338
44,山东,Energy,国内（生产视角）,75.21322920398894
45,河南,Energy,国内（生产视角）,91.99860709883286
46,湖北,Energy,国内（生产视角）,35.2190407755818
47,湖南,Energy,国内（生产视角）,31.491714200610172
48,广东,Energy,国内（生产视角）,49.27912928221879
49,广西,Energy,国内（生产视角）,21.224719341328267
50,海南,Energy,国内（生产视角）,3.292816800915998
51,重庆,Energy,国内（生产视角）,19.28869068406203
52,四川,Energy,国内（生产视角）,35.01823001558876
53,贵州,Energy,国内（生产视角）,33.66188010913219
54,云南,Energy,国内（生产视角）,24.449943892832838
55,陕西,Energy,国内（生产视角）,35.65015354119292
56,甘肃,Energy,国内（生产视角）,6.3334195661697015
57,青海,Energy,国内（生产视角）,1.9114117127577497
58,宁夏,Energy,国内（生产视角）,4.452128840455182
59,新疆,Energy,国内（生产视角）,9.545049069665074
60,北京,Energy,国际（生产视角）,7.565746245834666
61,天津,Energy,国际（生产视角）,12.816563078986144
62,河北,Energy,国际（生产视角）,44.40691916033391
63,山西,Energy,国际（生产视角）,21.967543382793664
64,内蒙古,Energy,国际（生产视角）,23.984424474519674
65,辽宁,Energy,国际（生产视角）,32.07609055630212
66,吉林,Energy,国际（生产视角）,8.953889676171261
67,黑龙江,Energy,国际（生产视角）,10.372816698373951
68,上海,Energy,国际（生产视角）,26.934000230157448
69,江苏,Energy,国际（生产视角）,67.7903069420811
70,浙江,Energy,国际（生产视角）,39.63327362175961
71,安徽,Energy,国际（生产视角）,12.825030134061015
72,福建,Energy,国际（生产视角）,19.745733450000937
73,江西,Energy,国际（生产视角）,9.737090367917096
74,山东,Energy,国际（生产视角）,57.19902363315559
75,河南,Energy,国际（生产视角）,26.361490944982567
76,湖北,Energy,国际（生产视角）,17.607262493999325
77,湖南,Energy,国际（生产视角）,13.606945642407615
78,广东,Energy,国际（生产视角）,60.67143127409809
79,广西,Energy,国际（生产视角）,10.954129834266011
80,海南,Energy,国际（生产视角）,1.8814903634962068
81,重庆,Energy,国际（生产视角）,6.667030141741103
82,四川,Energy,国际（生产视角）,15.336494014456372
83,贵州,Energy,国际（生产视角）,10.277337884893566
84,云南,Energy,国际（生产视角）,14.60465827982308
85,陕西,Energy,国际（生产视角）,11.778216358512145
86,甘肃,Energy,国际（生产视角）,24.0793219438741
87,青海,Energy,国际（生产视角）,5.702495171100038
88,宁夏,Energy,国际（生产视角）,18.946323788793972
89,新疆,Energy,国际（生产视角）,39.72491883769273
90,北京,Energy,本地（消费视角）,19.98655062507179
91,天津,Energy,本地（消费视角）,22.857105300691178
92,河北,Energy,本地（消费视角）,84.85495556998625
93,山西,Energy,本地（消费视角）,64.56393734457798
94,内蒙古,Energy,本地（消费视角）,62.55863175208324
95,辽宁,Energy,本地（消费视角）,91.102895387361
96,吉林,Energy,本地（消费视角）,36.6733854434989
97,黑龙江,Energy,本地（消费视角）,39.40335676842486
98,上海,Energy,本地（消费视角）,35.06902244046971
99,江苏,Energy,本地（消费视角）,84.26085227071185
100,浙江,Energy,本地（消费视角）,56.31960409064446
101,安徽,Energy,本地（消费视角）,41.71267144373531
102,福建,Energy,本地（消费视角）,47.11692416202396
103,江西,Energy,本地（消费视角）,28.039472613405692
104,山东,Energy,本地（消费视角）,150.1602770621063
105,河南,Energy,本地（消费视角）,78.73810177817202
106,湖北,Energy,本地（消费视角）,69.80261247216477
107,湖南,Energy,本地（消费视角）,57.83259115962875
108,广东,Energy,本地（消费视角）,88.35527895869983
109,广西,Energy,本地（消费视角）,36.07790525620914
110,海南,Energy,本地（消费视角）,8.445080604812667
111,重庆,Energy,本地（消费视角）,33.57574944518447
112,四川,Energy,本地（消费视角）,68.49554656281278
113,贵州,Energy,本地（消费视角）,29.689013572789104
114,云南,Energy,本地（消费视角）,37.083737517773834
115,陕西,Energy,本地（消费视角）,36.17490544231616
116,甘肃,Energy,本地（消费视角）,12.47529512155144
117,青海,Energy,本地（消费视角）,7.113937347818373
118,宁夏,Energy,本地（消费视角）,9.222498971624375
119,新疆,Energy,本地（消费视角）,19.014770734653162
120,北京,Energy,国内（消费视角）,47.84880785687792
121,天津,Energy,国内（消费视角）,52.80490386775184
122,河北,Energy,国内（消费视角）,77.48954567493553
123,山西,Energy,国内（消费视角）,24.34389577535404
124,内蒙古,Energy,国内（消费视角）,39.47639669646457
125,辽宁,Energy,国内（消费视角）,42.35345260024307
126,吉林,Energy,国内（消费视角）,62.33878833936126
127,黑龙江,Energy,国内（消费视角）,41.45219289564321
128,上海,Energy,国内（消费视角）,69.19131831806676
